Company,Ticker,Sector,E,S,G,ESG,Status
3M,MMM,Industrials,12.33,13.56,7.72,33.61,Invest
A. O. Smith,AOS,Industrials,7.29,11.87,6.27,25.43,Invest
Abbott,ABT,Health Care,3.03,13.59,8.36,24.98,Invest
AbbVie,ABBV,Health Care,1.12,16.77,9.95,27.84,Invest
Accenture,ACN,Information Technology,0.29,4.58,4.83,9.71,Invest
Activision Blizzard,ATVI,Communication Services,0.15,12.48,6.31,18.94,Invest
ADM,ADM,Consumer Staples,18.23,13.16,5.01,36.4,Invest
Adobe Inc.,ADBE,Information Technology,1.89,5.93,4.64,12.46,Invest
ADP,ADP,Industrials,1.07,6.96,5.94,13.97,Invest
AES Corporation,AES,Utilities,16.48,11.2,6.47,34.15,Invest
Aflac,AFL,Financials,0.47,7.26,9.57,17.3,Invest
Agilent Technologies,A,Health Care,0.34,8.65,6.26,15.24,Invest
Air Products and Chemicals,APD,Materials,5.94,1.28,3.59,10.81,Invest
Akamai,AKAM,Information Technology,2.93,6.9,6.72,16.55,Invest
Albemarle Corporation,ALB,Materials,15.53,5.54,7.73,28.8,Invest
Alexandria Real Estate Equities,ARE,Real Estate,3.91,3.66,6.27,13.85,Invest
Allegion,ALLE,Industrials,12.75,4.54,6.43,23.72,Invest
Alliant Energy,LNT,Utilities,10.04,5.65,6.18,21.87,Invest
Allstate,ALL,Financials,1.44,7.85,9.94,19.22,Invest
Alphabet Inc. (Class A),GOOGL,Communication Services,1.66,11.1,11.39,24.14,Invest
Altria,MO,Consumer Staples,4.66,12.98,6.35,23.99,Invest
Amazon,AMZN,Consumer Discretionary,5.59,14.8,9.89,30.28,Invest
Ameren,AEE,Utilities,14.11,9.93,5.49,29.53,Invest
American Airlines Group,AAL,Industrials,11.53,12.31,5.26,29.1,Invest
American Electric Power,AEP,Utilities,12.84,7.54,5.43,25.81,Invest
American Express,AXP,Financials,0.05,8.37,9.95,18.38,Invest
American International Group,AIG,Financials,1.87,9.67,13.79,25.32,Invest
American Tower,AMT,Real Estate,2.36,3.56,5.02,10.94,Invest
American Water Works,AWK,Utilities,9.04,7.58,5.27,21.89,Invest
Ameriprise Financial,AMP,Financials,2.57,7.22,12.82,22.61,Invest
Ametek,AME,Industrials,8.65,8.51,6.92,24.08,Invest
Amgen,AMGN,Health Care,0.69,13.46,7.89,22.04,Invest
Amphenol,APH,Information Technology,8.04,5.49,7.81,21.35,Invest
Analog Devices,ADI,Information Technology,10.13,7.74,5.9,23.78,Invest
Ansys,ANSS,Information Technology,0.86,7.32,4.86,13.05,Invest
Aon,AON,Financials,0.06,10.44,12.5,23,Invest
APA Corporation,APA,Energy,21.98,8.88,7.96,38.81,Invest
Apple Inc.,AAPL,Information Technology,0.65,6.86,9.18,16.68,Invest
Applied Materials,AMAT,Information Technology,3.84,2.62,5.1,11.56,Invest
Aptiv,APTV,Consumer Discretionary,2.49,3.75,5.27,11.51,Invest
Arch Capital Group,ACGL,Financials,1.47,7.31,11.98,20.75,Invest
Arista Networks,ANET,Information Technology,0.4,8.88,7.11,16.4,Invest
Arthur J. Gallagher & Co.,AJG,Financials,0.11,10.7,10.47,21.28,Invest
Assurant,AIZ,Financials,1.63,11.58,11.27,24.48,Invest
AT&T,T,Communication Services,2.27,13.15,6.66,22.07,Invest
Atmos Energy,ATO,Utilities,14.83,13.42,6.54,34.79,Invest
Autodesk,ADSK,Information Technology,3.41,8.19,4.44,16.05,Invest
AutoZone,AZO,Consumer Discretionary,0.11,7.09,3.83,11.04,Invest
AvalonBay Communities,AVB,Real Estate,2.95,3.02,4.56,10.53,Invest
Avery Dennison,AVY,Materials,10.58,1.14,3.67,15.38,Invest
Ball Corporation,BALL,Materials,5.92,1.11,3.79,10.81,Invest
Bank of America,BAC,Financials,1.62,14.37,11.16,27.15,Invest
"Bath & Body Works, Inc.",BBWI,Consumer Discretionary,2.59,8.43,4.48,15.5,Invest
Baxter International,BAX,Health Care,2.83,13.6,7.31,23.74,Invest
Becton Dickinson,BDX,Health Care,3.7,15.56,7.48,26.74,Invest
Berkley,WRB,Financials,1.97,7.95,12.04,21.97,Invest
Best Buy,BBY,Consumer Discretionary,2.22,7.19,4.75,14.15,Invest
Bio-Rad,BIO,Health Care,1.44,8.25,7.19,16.87,Invest
Bio-Techne,TECH,Health Care,56.89,56.41,48.85,55.17,Invest
Biogen,BIIB,Health Care,0.02,13.22,7.81,21.05,Invest
BlackRock,BLK,Financials,1.49,9.61,9.48,20.57,Invest
Blackstone,BX,Financials,2.52,9.95,11.16,23.63,Invest
