"Date","AAL.L","ABF.L","ADM.L","AHT.L","ANTO.L","AV.L","AZN.L","BA.L","BARC.L","BATS.L","BDEV.L","BNZL.L","BP.L","BRBY.L","BT-A.L","CNA.L","CPG.L","CRDA.L","DCC.L","DGE.L","EXPN.L","FCIT.L","FLTR.L","FRES.L","GLEN.L","GSK.L","HIK.L","HL.L","HSBA.L","IAG.L","IHG.L","III.L","IMB.L","INF.L","ITRK.L","KGF.L","LAND.L","LGEN.L","LLOY.L","LSEG.L","MKS.L","MNDI.L","NG.L","NWG.L","NXT.L","PRU.L","PSON.L","REL.L","RIO.L","RKT.L","RR.L","RTO.L","SBRY.L","SDR.L","SGE.L","SGRO.L","SHEL.L","SKG.L","SMDS.L","SMIN.L","SMT.L","SN.L","SSE.L","STAN.L","STJ.L","SVT.L","TSCO.L","TW.L","ULVR.L","UU.L","VOD.L","WEIR.L","WPP.L","WTB.L"
"2013-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2014-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2015-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2016-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2017-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2018-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2019-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2020-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2021-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
"2022-01-01","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514","0.013514"
