"Date","AAL.L","ABF.L","ADM.L","AHT.L","ANTO.L","AV.L","AZN.L","BA.L","BARC.L","BATS.L","BDEV.L","BNZL.L","BP.L","BRBY.L","BT-A.L","CNA.L","CPG.L","CRDA.L","DCC.L","DGE.L","EXPN.L","FCIT.L","FLTR.L","FRES.L","GLEN.L","GSK.L","HIK.L","HL.L","HSBA.L","IAG.L","IHG.L","III.L","IMB.L","INF.L","ITRK.L","KGF.L","LAND.L","LGEN.L","LLOY.L","LSEG.L","MKS.L","MNDI.L","NG.L","NWG.L","NXT.L","PRU.L","PSON.L","REL.L","RIO.L","RKT.L","RR.L","RTO.L","SBRY.L","SDR.L","SGE.L","SGRO.L","SHEL.L","SKG.L","SMDS.L","SMIN.L","SMT.L","SN.L","SSE.L","STAN.L","STJ.L","SVT.L","TSCO.L","TW.L","ULVR.L","UU.L","VOD.L","WEIR.L","WPP.L","WTB.L"
"2013-01-01","0.012162","0.012162","0.014866","0.012162","0.012162","0.014866","0.014866","0.012162","0.014866","0.012162","0.012162","0.014866","0.012162","0.014866","0.014866","0.012162","0.012162","0.012162","0.012162","0.012162","0.014866","0.014866","0.014866","0.012162","0.012162","0.014866","0.014866","0.014866","0.014866","0.012162","0.012162","0.014866","0.012162","0.014866","0.014866","0.014866","0.014866","0.014866","0.014866","0.014866","0.012162","0.012162","0.012162","0.014866","0.014866","0.014866","0.014866","0.014866","0.012162","0.012162","0.012162","0.014866","0.012162","0.014866","0.014866","0.014866","0.012162","0.012162","0.012162","0.012162","0.014866","0.014866","0.012162","0.014866","0.014866","0.012162","0.012162","0.012162","0.012162","0.012162","0.014866","0.012162","0.014866","0.012162"
"2014-01-01","0.010811","0.010811","0.016217","0.010811","0.010811","0.016217","0.016217","0.010811","0.016217","0.010811","0.010811","0.016217","0.010811","0.016217","0.016217","0.010811","0.010811","0.010811","0.010811","0.010811","0.016217","0.016217","0.016217","0.010811","0.010811","0.016217","0.016217","0.016217","0.016217","0.010811","0.010811","0.016217","0.010811","0.016217","0.016217","0.016217","0.016217","0.016217","0.016217","0.016217","0.010811","0.010811","0.010811","0.016217","0.016217","0.016217","0.016217","0.016217","0.010811","0.010811","0.010811","0.016217","0.010811","0.016217","0.016217","0.016217","0.010811","0.010811","0.010811","0.010811","0.016217","0.016217","0.010811","0.016217","0.016217","0.010811","0.010811","0.010811","0.010811","0.010811","0.016217","0.010811","0.016217","0.010811"
"2015-01-01","0.009459","0.009459","0.017569","0.009459","0.009459","0.017569","0.017569","0.009459","0.017569","0.009459","0.009459","0.017569","0.009459","0.017569","0.017569","0.009459","0.009459","0.009459","0.009459","0.009459","0.017569","0.017569","0.017569","0.009459","0.009459","0.017569","0.017569","0.017569","0.017569","0.009459","0.009459","0.017569","0.009459","0.017569","0.017569","0.017569","0.017569","0.017569","0.017569","0.017569","0.009459","0.009459","0.009459","0.017569","0.017569","0.017569","0.017569","0.017569","0.009459","0.009459","0.009459","0.017569","0.009459","0.017569","0.017569","0.017569","0.009459","0.009459","0.009459","0.009459","0.017569","0.017569","0.009459","0.017569","0.017569","0.009459","0.009459","0.009459","0.009459","0.009459","0.017569","0.009459","0.017569","0.009459"
"2016-01-01","0.008108","0.008108","0.01892","0.008108","0.008108","0.01892","0.01892","0.008108","0.01892","0.008108","0.008108","0.01892","0.008108","0.01892","0.01892","0.008108","0.008108","0.008108","0.008108","0.008108","0.01892","0.01892","0.01892","0.008108","0.008108","0.01892","0.01892","0.01892","0.01892","0.008108","0.008108","0.01892","0.008108","0.01892","0.01892","0.01892","0.01892","0.01892","0.01892","0.01892","0.008108","0.008108","0.008108","0.01892","0.01892","0.01892","0.01892","0.01892","0.008108","0.008108","0.008108","0.01892","0.008108","0.01892","0.01892","0.01892","0.008108","0.008108","0.008108","0.008108","0.01892","0.01892","0.008108","0.01892","0.01892","0.008108","0.008108","0.008108","0.008108","0.008108","0.01892","0.008108","0.01892","0.008108"
"2017-01-01","0.006757","0.006757","0.020271","0.006757","0.006757","0.020271","0.020271","0.006757","0.020271","0.006757","0.006757","0.020271","0.006757","0.020271","0.020271","0.006757","0.006757","0.006757","0.006757","0.006757","0.020271","0.020271","0.020271","0.006757","0.006757","0.020271","0.020271","0.020271","0.020271","0.006757","0.006757","0.020271","0.006757","0.020271","0.020271","0.020271","0.020271","0.020271","0.020271","0.020271","0.006757","0.006757","0.006757","0.020271","0.020271","0.020271","0.020271","0.020271","0.006757","0.006757","0.006757","0.020271","0.006757","0.020271","0.020271","0.020271","0.006757","0.006757","0.006757","0.006757","0.020271","0.020271","0.006757","0.020271","0.020271","0.006757","0.006757","0.006757","0.006757","0.006757","0.020271","0.006757","0.020271","0.006757"
"2018-01-01","0.005405","0.005405","0.021623","0.005405","0.005405","0.021623","0.021623","0.005405","0.021623","0.005405","0.005405","0.021623","0.005405","0.021623","0.021623","0.005405","0.005405","0.005405","0.005405","0.005405","0.021623","0.021623","0.021623","0.005405","0.005405","0.021623","0.021623","0.021623","0.021623","0.005405","0.005405","0.021623","0.005405","0.021623","0.021623","0.021623","0.021623","0.021623","0.021623","0.021623","0.005405","0.005405","0.005405","0.021623","0.021623","0.021623","0.021623","0.021623","0.005405","0.005405","0.005405","0.021623","0.005405","0.021623","0.021623","0.021623","0.005405","0.005405","0.005405","0.005405","0.021623","0.021623","0.005405","0.021623","0.021623","0.005405","0.005405","0.005405","0.005405","0.005405","0.021623","0.005405","0.021623","0.005405"
"2019-01-01","0.004054","0.004054","0.022974","0.004054","0.004054","0.022974","0.022974","0.004054","0.022974","0.004054","0.004054","0.022974","0.004054","0.022974","0.022974","0.004054","0.004054","0.004054","0.004054","0.004054","0.022974","0.022974","0.022974","0.004054","0.004054","0.022974","0.022974","0.022974","0.022974","0.004054","0.004054","0.022974","0.004054","0.022974","0.022974","0.022974","0.022974","0.022974","0.022974","0.022974","0.004054","0.004054","0.004054","0.022974","0.022974","0.022974","0.022974","0.022974","0.004054","0.004054","0.004054","0.022974","0.004054","0.022974","0.022974","0.022974","0.004054","0.004054","0.004054","0.004054","0.022974","0.022974","0.004054","0.022974","0.022974","0.004054","0.004054","0.004054","0.004054","0.004054","0.022974","0.004054","0.022974","0.004054"
"2020-01-01","0.002703","0.002703","0.024325","0.002703","0.002703","0.024325","0.024325","0.002703","0.024325","0.002703","0.002703","0.024325","0.002703","0.024325","0.024325","0.002703","0.002703","0.002703","0.002703","0.002703","0.024325","0.024325","0.024325","0.002703","0.002703","0.024325","0.024325","0.024325","0.024325","0.002703","0.002703","0.024325","0.002703","0.024325","0.024325","0.024325","0.024325","0.024325","0.024325","0.024325","0.002703","0.002703","0.002703","0.024325","0.024325","0.024325","0.024325","0.024325","0.002703","0.002703","0.002703","0.024325","0.002703","0.024325","0.024325","0.024325","0.002703","0.002703","0.002703","0.002703","0.024325","0.024325","0.002703","0.024325","0.024325","0.002703","0.002703","0.002703","0.002703","0.002703","0.024325","0.002703","0.024325","0.002703"
"2021-01-01","0.001351","0.001351","0.025677","0.001351","0.001351","0.025677","0.025677","0.001351","0.025677","0.001351","0.001351","0.025677","0.001351","0.025677","0.025677","0.001351","0.001351","0.001351","0.001351","0.001351","0.025677","0.025677","0.025677","0.001351","0.001351","0.025677","0.025677","0.025677","0.025677","0.001351","0.001351","0.025677","0.001351","0.025677","0.025677","0.025677","0.025677","0.025677","0.025677","0.025677","0.001351","0.001351","0.001351","0.025677","0.025677","0.025677","0.025677","0.025677","0.001351","0.001351","0.001351","0.025677","0.001351","0.025677","0.025677","0.025677","0.001351","0.001351","0.001351","0.001351","0.025677","0.025677","0.001351","0.025677","0.025677","0.001351","0.001351","0.001351","0.001351","0.001351","0.025677","0.001351","0.025677","0.001351"
"2022-01-01","0","0","0.027028","0","0","0.027028","0.027028","0","0.027028","0","0","0.027028","0","0.027028","0.027028","0","0","0","0","0","0.027028","0.027028","0.027028","0","0","0.027028","0.027028","0.027028","0.027028","0","0","0.027028","0","0.027028","0.027028","0.027028","0.027028","0.027028","0.027028","0.027028","0","0","0","0.027028","0.027028","0.027028","0.027028","0.027028","0","0","0","0.027028","0","0.027028","0.027028","0.027028","0","0","0","0","0.027028","0.027028","0","0.027028","0.027028","0","0","0","0","0","0.027028","0","0.027028","0"
