DATE,UKNGDP
1955-01-01,4666
1955-04-01,4688
1955-07-01,4862
1955-10-01,4953
1956-01-01,5086
1956-04-01,5155
1956-07-01,5235
1956-10-01,5368
1957-01-01,5380
1957-04-01,5461
1957-07-01,5578
1957-10-01,5685
1958-01-01,5800
1958-04-01,5724
1958-07-01,5824
1958-10-01,5872
1959-01-01,5885
1959-04-01,6079
1959-07-01,6103
1959-10-01,6321
1960-01-01,6425
1960-04-01,6484
1960-07-01,6578
1960-10-01,6714
1961-01-01,6881
1961-04-01,6881
1961-07-01,7119
1961-10-01,7037
1962-01-01,7132
1962-04-01,7307
1962-07-01,7381
1962-10-01,7415
1963-01-01,7365
1963-04-01,7750
1963-07-01,7869
1963-10-01,8115
1964-01-01,8142
1964-04-01,8433
1964-07-01,8618
1964-10-01,8854
1965-01-01,9019
1965-04-01,9062
1965-07-01,9283
1965-10-01,9464
1966-01-01,9606
1966-04-01,9772
1966-07-01,9956
1966-10-01,10060
1967-01-01,10158
1967-04-01,10413
1967-07-01,10483
1967-10-01,10619
1968-01-01,11097
1968-04-01,11230
1968-07-01,11586
1968-10-01,11882
1969-01-01,12086
1969-04-01,12267
1969-07-01,12541
1969-10-01,12867
1970-01-01,13220
1970-04-01,13803
1970-07-01,14253
1970-10-01,14765
1971-01-01,14986
1971-04-01,15497
1971-07-01,15993
1971-10-01,16394
1972-01-01,16599
1972-04-01,17388
1972-07-01,17759
1972-10-01,18832
1973-01-01,20046
1973-04-01,19874
1973-07-01,20558
1973-10-01,21315
1974-01-01,21132
1974-04-01,22651
1974-07-01,23896
1974-10-01,24994
1975-01-01,26814
1975-04-01,28129
1975-07-01,29260
1975-10-01,30890
1976-01-01,32449
1976-04-01,33322
1976-07-01,34550
1976-10-01,36678
1977-01-01,38038
1977-04-01,39244
1977-07-01,40339
1977-10-01,42165
1978-01-01,44140
1978-04-01,45905
1978-07-01,47207
1978-10-01,48906
1979-01-01,50459
1979-04-01,53966
1979-07-01,56767
1979-10-01,59789
1980-01-01,62107
1980-04-01,63704
1980-07-01,66021
1980-10-01,68138
1981-01-01,69939
1981-04-01,71334
1981-07-01,73310
1981-10-01,75597
1982-01-01,77468
1982-04-01,78993
1982-07-01,80430
1982-10-01,82667
1983-01-01,85727
1983-04-01,86288
1983-07-01,88637
1983-10-01,90695
1984-01-01,91663
1984-04-01,93433
1984-07-01,94862
1984-10-01,97962
1985-01-01,99412
1985-04-01,103208
1985-07-01,105169
1985-10-01,106841
1986-01-01,108753
1986-04-01,110079
1986-07-01,111989
1986-10-01,115779
1987-01-01,118136
1987-04-01,121739
1987-07-01,127119
1987-10-01,129815
1988-01-01,133283
1988-04-01,136629
1988-07-01,140802
1988-10-01,144969
1989-01-01,148623
1989-04-01,151262
1989-07-01,155370
1989-10-01,159376
1990-01-01,163056
1990-04-01,166719
1990-07-01,170068
1990-10-01,170954
1991-01-01,173192
1991-04-01,175821
1991-07-01,177281
1991-10-01,179590
1992-01-01,181438
1992-04-01,181889
1992-07-01,182558
1992-10-01,184989
1993-01-01,189579
1993-04-01,189803
1993-07-01,193552
1993-10-01,196921
1994-01-01,199797
1994-04-01,200690
1994-07-01,203292
1994-10-01,207015
1995-01-01,208657
1995-04-01,210748
1995-07-01,214616
1995-10-01,217824
1996-01-01,221433
1996-04-01,226187
1996-07-01,229913
1996-10-01,232460
1997-01-01,232729
1997-04-01,235976
1997-07-01,243443
1997-10-01,241257
1998-01-01,245844
1998-04-01,248055
1998-07-01,250789
1998-10-01,253813
1999-01-01,255773
1999-04-01,258286
1999-07-01,261502
1999-10-01,267687
2000-01-01,272133
2000-04-01,273951
2000-07-01,276266
2000-10-01,278402
2001-01-01,282928
2001-04-01,286649
2001-07-01,288266
2001-10-01,288292
2002-01-01,292432
2002-04-01,295747
2002-07-01,299185
2002-10-01,304075
2003-01-01,307455
2003-04-01,313102
2003-07-01,317491
2003-10-01,320286
2004-01-01,322790
2004-04-01,329664
2004-07-01,331528
2004-10-01,338655
2005-01-01,341391
2005-04-01,348632
2005-07-01,351940
2005-10-01,356786
2006-01-01,361268
2006-04-01,367040
2006-07-01,370883
2006-10-01,372847
2007-01-01,377049
2007-04-01,386313
2007-07-01,389228
2007-10-01,392047
2008-01-01,397548
2008-04-01,400881
2008-07-01,399970
2008-10-01,395201
2009-01-01,386739
2009-04-01,386564
2009-07-01,388624
2009-10-01,386875
2010-01-01,396113
2010-04-01,401311
2010-07-01,404199
2010-10-01,406930
2011-01-01,414732
2011-04-01,412366
2011-07-01,416049
2011-10-01,419443
2012-01-01,424704
2012-04-01,425007
2012-07-01,430937
2012-10-01,433067
2013-01-01,438103
2013-04-01,442283
2013-07-01,448727
2013-10-01,452248
2014-01-01,457992
2014-04-01,461616
2014-07-01,470454
2014-10-01,472452
2015-01-01,474738
2015-04-01,476582
2015-07-01,479885
2015-10-01,485246
2016-01-01,489730
2016-04-01,493941
2016-07-01,500650
2016-10-01,507324
2017-01-01,513926
2017-04-01,517565
2017-07-01,521219
2017-10-01,529772
2018-01-01,531266
2018-04-01,535608
2018-07-01,540123
2018-10-01,545307
2019-01-01,549394
2019-04-01,555948
2019-07-01,562790
2019-10-01,565789
2020-01-01,556179
2020-04-01,475747
2020-07-01,533668
2020-10-01,538694
2021-01-01,538012
2021-04-01,567887
2021-07-01,581506
2021-10-01,596674
2022-01-01,608817
2022-04-01,622011
2022-07-01,630651
2022-10-01,644691
2023-01-01,658329
2023-04-01,675109
