Date,AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,EXPN.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HSBA.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,NG.L,NWG.L,NXT.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2020-01-03,-0.007039,-0.017262,0.005039,-0.005213,-0.00625,-0.023492,-0.009915,0.005222,0.011847,-0.010259,0.026646,-0.007979,0.002547,0.000956,0.027451,0.01045,-0.012037,0.005015,-0.006831,-0.002941,-0.015166,-0.016949,0.002042,0,0.000635,0.026398,0.002489,0.004051,0.000504,-0.012739,-0.001176,-0.016976,-0.00651,-0.007613,0.024627,-0.010376,-0.001718,-0.00729,-0.009946,-0.004628,-0.016077,-0.010359,-0.008052,-0.001413,0.000421,-0.02456,-0.002299,-0.009904,0,-0.016117,-0.010769,0.003679,-0.004971,-0.001451,-0.004991,0.005048,-0.012495,-0.015344,-0.012306,-0.004445,0.018613,-0.008838,0.001293,-0.009849,0.000853,0.008463,-0.007896,0.001111,-0.010178,0.000398,-0.002737,-0.010914,0.0023,-0.004403,0.000947,0.001872,-0.006332
2020-01-06,-0.01898,-0.01484,0.008484,-0.00393,0.007966,-0.015171,-0.012876,-0.01,0.01343,-0.012657,-0.000597,0.002413,-0.0235,-0.012416,0.020342,-0.016187,-0.002375,0.008829,-0.016402,0.001967,-0.009502,-0.014163,-0.001881,-0.00549,-0.009518,0,-0.022139,-0.007846,-0.037261,-0.033807,-0.015478,-0.024624,-0.019464,-0.017599,-0.005827,-0.007689,-0.000344,-0.008344,0.00274,-0.006468,-0.003268,0.003172,-0.018067,-0.022637,-0.004733,0.007134,0.000288,-0.013798,-0.012146,0.001117,-0.012753,-0.006021,-0.01643,-0.005653,-0.00118,-0.011793,-0.011344,-0.023374,-0.002979,-0.00558,0.004568,-0.015775,-0.01395,-0.005851,-0.009378,-0.01895,-0.002076,-0.019145,-0.017138,-0.007154,-0.004312,-0.007442,-0.007459,-0.012845,-0.005813,-0.006072,-0.01295
2020-01-07,0.006993,-0.033507,0.021798,0.003507,-0.002496,0.014525,0.008212,0.002886,0.002718,0.011935,0.016716,0.019257,0.005854,-0.007737,-0.010514,-0.010969,-0.006003,-0.003044,0.001076,-0.000982,0.002646,0.00406,0.000314,-0.002366,0.009396,-0.007564,0.002962,-0.004519,-0.015429,0,-0.003076,0.011475,-0.002751,-0.001837,0.018943,0.001878,-0.017556,0.009761,0.038251,0.010376,0.007213,-0.002214,-0.008,0.00579,-0.00391,0.0025,-0.006048,0.008744,0.010929,0.014132,0.012602,-0.002897,0.002257,-0.002924,-0.012999,-0.02232,0.019417,0.002148,-0.001358,-0.00853,-0.008012,0.008362,0.003668,0.01236,0.010327,0.011314,-0.012829,-0.007638,0.003487,-0.009608,0.001968,0.005171,-0.008556,-0.00384,-0.002856,0.006579,-0.001458
2020-01-08,-0.003241,-0.008588,-0.003743,-0.009174,0.012094,0.009761,-0.003114,-0.002485,0.00305,-0.006006,0.018644,-0.001312,-0.025542,-0.010721,-0.009022,0.005545,0.019887,-0.000763,0.019613,0,-0.007588,0.002799,0.007537,0.001186,-0.002539,-0.021341,0.011814,0.004993,-0.00425,0.0211,-0.0036,0.002269,-0.002168,0.001381,0.011915,-0.011484,0,-0.006667,-0.017544,-0.014499,0.002929,-0.00507,0.01371,-0.006621,-0.002864,-0.001247,0.00058,0.013176,0.006757,-0.001467,-0.011512,0.003698,0.013513,-0.011242,-0.003891,0.007007,-0.01645,-0.005205,-0.001904,-0.005887,-0.006549,-0.011748,-0.009397,0.014535,0.005111,0,-0.010889,-0.003991,-0.002172,-0.001213,-0.013752,-0.005401,-0.011079,0.011563,0.005728,-0.003268,-0.012096
2020-01-09,-0.00418,0.015399,-0.000751,0.019841,0.018953,0.003867,0.003845,0.007212,0.001689,0.004504,-0.003026,-0.004204,-0.016921,0.005911,-0.004552,0.019761,-0.014803,0.003438,0.006588,-0.010805,0.00266,0.011476,0.011532,0.01816,-0.008484,-0.034268,-0.00563,0.010727,0.014671,-0.009678,0.011698,0.026197,0.000395,0.005515,-0.002537,-0.002371,0.012614,-0.012416,-0.029018,-0.015325,0.002597,-0.014971,0.0297,-0.007824,-0.003617,-0.006658,-0.015349,0.010951,0.013423,0.002571,-0.016368,0.015263,-0.010889,0.002307,0.029747,0.021324,-0.012764,0.009849,0.01172,-0.00706,-0.006592,0.003496,-0.008432,0.001719,0.017797,0.007913,0.001776,0.012879,0.007836,0.004452,0.009163,0.014223,0.00967,-0.001482,0.030237,-0.007026,-0.003378
2020-01-10,0.009795,-0.01485,-0.014662,-0.006053,-0.008492,0.011342,-0.011731,-0.004687,-0.000337,-0.010172,0.006649,-0.002375,-0.012487,-0.000979,0.006504,-0.000901,-0.004145,0.012943,0.001309,0.004965,-0.009947,-0.002453,-0.000154,-0.003877,0.005348,0.008387,0.007339,0.004022,0.002366,-0.025621,-0.005951,0.046328,-0.008884,-0.005027,-0.002748,-0.008793,-0.00519,0.00034,-0.032644,-0.007263,-0.009064,-0.024575,-0.014679,-0.01986,-0.001602,-0.014244,-0.006765,0.002031,-0.003974,-0.008791,0.00448,0.001555,0.008313,-0.007233,-0.004085,0.00044,-0.019171,-0.003962,-0.003233,-0.002064,0.001327,-0.015331,-0.001594,-0.002574,-0.003331,0.010287,0.01028,0.003956,-0.015983,-0.009267,-0.015397,0.007904,0.005489,0.003816,-0.002106,0.000943,-0.015251
2020-01-13,0.009469,0.000641,-0.017551,0.003045,0.006933,0.027084,-0.002907,0.000654,0.035762,0.003757,0.003733,0.016133,0.003759,0.020098,0.003735,0.011276,-0.014568,0.00714,0.00915,0.01087,0.017415,0.005841,-0.003852,-0.001168,-0.020213,-0.009917,0.008743,0.006565,0.011277,-0.007861,0.010606,-0.012349,0.006175,0.01378,0.006327,0.011029,0.017044,0.003397,0.01711,-0.003762,-0.012741,-0.026355,-0.011239,-0.00298,0.006738,-0.014025,-0.003849,-0.005743,0.017287,0.010717,-0.003504,0.007505,0.014929,0.008114,-0.010255,-0.007689,0.002273,-0.002448,-0.005676,0.003907,0.001988,0.016985,0,0.002007,0.005013,0.001608,0.013684,0.004785,-0.016681,0.023994,-0.003208,0.022009,0.008944,0.025343,-0.000132,0.001414,0.013121
2020-01-14,-0.005948,0.000321,-0.005437,0.005204,-0.009721,0.006387,-0.001458,0.005359,-0.002932,-0.003743,-0.003433,0.016398,-0.003745,0.008169,-0.002414,0.012935,-0.020063,0.011567,0.013472,0.005865,-0.006583,0.00489,-0.000464,0.012471,-0.012378,-0.016155,0.001444,-0.002653,0.008558,-0.009836,-0.000677,-0.013724,-0.003168,-0.002719,0.008315,-0.004506,0.007524,-0.012525,0.021028,0.006924,0.002647,0.00017,-0.002643,-0.025702,-0.002975,-0.005603,0.01635,-0.011893,0.005229,0.022303,-0.032928,0.014385,-0.002195,0.009034,-0.002961,0.011069,0,0.004294,-0.002446,-0.001603,-0.00485,-0.016701,-0.02156,-0.007727,-0.003325,0.003478,0.009692,0.003641,-0.007143,0.001191,0.006034,0.039109,-0.005411,0.004943,0.03245,-0.021647,0.01465
2020-01-15,-0.005063,-0.009933,-0.002343,-0.004745,-0.005317,-0.00737,-0.006083,0.018853,0.001307,-0.013812,0.006891,0.007938,0.006152,0.00143,-0.001411,0.018494,-0.014547,0.013648,0.007924,-0.022352,-0.016899,0.011253,0.013927,0.016936,0.012313,0.023974,-0.005357,0.017069,0.015685,0.009934,-0.001016,-0.005257,0.005561,-0.004998,0.018202,0.020486,0.007468,-0.008228,-0.020595,0.004168,-0.021452,-0.016,0.013252,-0.01227,0.019286,-0.025141,0.004387,-0.036795,0.007802,0.003934,0.022149,0.013421,-0.004841,0.014488,0.004751,0.016641,-0.024943,-0.00733,0.005722,0.008026,0.002437,0.004246,-0.024211,0.000288,-0.005004,0.007731,0.019198,-0.018699,-0.008543,0.009917,-0.009996,-0.002382,0.007524,0.007174,0.009071,-0.003848,0.012136
2020-01-16,0.006477,0.009709,0.041487,0.007369,0.001712,0.003506,-0.003917,-0.016463,0.004241,-0.009524,-0.012546,0.006098,-0.008152,-0.012375,0.005351,-0.001297,0.000547,0.008006,-0.009565,0.005964,-0.005056,-0.030677,-0.007784,-0.008327,-0.003041,0.015395,0.0029,-0.014821,-0.032658,-0.021858,0.001865,-0.007771,0.004938,0.011872,0.004198,0.003268,-0.003032,0.008296,-0.019159,0.001453,-0.00742,0.001557,0,-0.010559,0.003868,-0.012894,-0.002621,0.004284,0.005161,0.015319,-0.088939,-0.005497,0.000774,-0.005777,0.000887,0.007107,0.002791,0.003692,0.001355,0.008417,-0.003315,-0.030303,-0.004739,-0.009516,0.001676,-0.008466,0.010598,-0.002275,-0.004535,0.00707,-0.010501,0.003343,0.00046,0.001425,-0.014434,-0.014969,-0.051685
