"Ticker","Index","Country"
"A2M.AX","ASX200","Australia"
"ABC.AX","ASX200","Australia"
"AGL.AX","ASX200","Australia"
"AIA.AX","ASX200","Australia"
"AKE.AX","ASX200","Australia"
"ALD.AX","ASX200","Australia"
"ALL.AX","ASX200","Australia"
"ALQ.AX","ASX200","Australia"
"ALU.AX","ASX200","Australia"
"ALX.AX","ASX200","Australia"
"AMC.AX","ASX200","Australia"
"AMP.AX","ASX200","Australia"
"ANN.AX","ASX200","Australia"
"ANZ.AX","ASX200","Australia"
"APA.AX","ASX200","Australia"
"APE.AX","ASX200","Australia"
"SQ2.AX","ASX200","Australia"
"ARB.AX","ASX200","Australia"
"ARF.AX","ASX200","Australia"
"ASX.AX","ASX200","Australia"
"AUB.AX","ASX200","Australia"
"AWC.AX","ASX200","Australia"
"AZJ.AX","ASX200","Australia"
"AVZ.AX","ASX200","Australia"
"BAP.AX","ASX200","Australia"
"BEN.AX","ASX200","Australia"
"BGA.AX","ASX200","Australia"
"BHP.AX","ASX200","Australia"
"BKW.AX","ASX200","Australia"
"BLD.AX","ASX200","Australia"
"BOQ.AX","ASX200","Australia"
"BPT.AX","ASX200","Australia"
"BRN.AX","ASX200","Australia"
"BRG.AX","ASX200","Australia"
"BSL.AX","ASX200","Australia"
"BWP.AX","ASX200","Australia"
"BXB.AX","ASX200","Australia"
"CAR.AX","ASX200","Australia"
"CBA.AX","ASX200","Australia"
"CCP.AX","ASX200","Australia"
"CCX.AX","ASX200","Australia"
"CGC.AX","ASX200","Australia"
"CGF.AX","ASX200","Australia"
"CHC.AX","ASX200","Australia"
"CHN.AX","ASX200","Australia"
"CIA.AX","ASX200","Australia"
"CIP.AX","ASX200","Australia"
"CKF.AX","ASX200","Australia"
"CLW.AX","ASX200","Australia"
"CMW.AX","ASX200","Australia"
"CNI.AX","ASX200","Australia"
"CNU.AX","ASX200","Australia"
"COH.AX","ASX200","Australia"
"COL.AX","ASX200","Australia"
"CPU.AX","ASX200","Australia"
"CRN.AX","ASX200","Australia"
"CQR.AX","ASX200","Australia"
"CSL.AX","ASX200","Australia"
"CSR.AX","ASX200","Australia"
"CTD.AX","ASX200","Australia"
"CUV.AX","ASX200","Australia"
"CWY.AX","ASX200","Australia"
"CXO.AX","ASX200","Australia"
"DEG.AX","ASX200","Australia"
"DHG.AX","ASX200","Australia"
"DMP.AX","ASX200","Australia"
"DOW.AX","ASX200","Australia"
"DRR.AX","ASX200","Australia"
"DXS.AX","ASX200","Australia"
"EDV.AX","ASX200","Australia"
"ELD.AX","ASX200","Australia"
"EML.AX","ASX200","Australia"
"EVN.AX","ASX200","Australia"
"EVT.AX","ASX200","Australia"
"FBU.AX","ASX200","Australia"
"FLT.AX","ASX200","Australia"
"FMG.AX","ASX200","Australia"
"FPH.AX","ASX200","Australia"
"GMG.AX","ASX200","Australia"
"GNC.AX","ASX200","Australia"
"GOR.AX","ASX200","Australia"
"GOZ.AX","ASX200","Australia"
"GPT.AX","ASX200","Australia"
"GUD.AX","ASX200","Australia"
"HDN.AX","ASX200","Australia"
"HLS.AX","ASX200","Australia"
"HMC.AX","ASX200","Australia"
"HUB.AX","ASX200","Australia"
"HVN.AX","ASX200","Australia"
"IAG.AX","ASX200","Australia"
"IEL.AX","ASX200","Australia"
"IFL.AX","ASX200","Australia"
"IGO.AX","ASX200","Australia"
"ILU.AX","ASX200","Australia"
"IMU.AX","ASX200","Australia"
"INA.AX","ASX200","Australia"
"ING.AX","ASX200","Australia"
"IPH.AX","ASX200","Australia"
"IPL.AX","ASX200","Australia"
"IRE.AX","ASX200","Australia"
"IVC.AX","ASX200","Australia"
"JBH.AX","ASX200","Australia"
"JHG.AX","ASX200","Australia"
"JHX.AX","ASX200","Australia"
"KLS.AX","ASX200","Australia"
"LIC.AX","ASX200","Australia"
"LKE.AX","ASX200","Australia"
"LLC.AX","ASX200","Australia"
"LNK.AX","ASX200","Australia"
"LTR.AX","ASX200","Australia"
"LYC.AX","ASX200","Australia"
"MFG.AX","ASX200","Australia"
"MGR.AX","ASX200","Australia"
"MIN.AX","ASX200","Australia"
"MP1.AX","ASX200","Australia"
"MPL.AX","ASX200","Australia"
"MQG.AX","ASX200","Australia"
"MTS.AX","ASX200","Australia"
"NAB.AX","ASX200","Australia"
"NAN.AX","ASX200","Australia"
"NCM.AX","ASX200","Australia"
"NEC.AX","ASX200","Australia"
"NHC.AX","ASX200","Australia"
"NHF.AX","ASX200","Australia"
"NIC.AX","ASX200","Australia"
"NSR.AX","ASX200","Australia"
"NST.AX","ASX200","Australia"
"NUF.AX","ASX200","Australia"
"NVX.AX","ASX200","Australia"
"NWL.AX","ASX200","Australia"
"NWS.AX","ASX200","Australia"
"NXT.AX","ASX200","Australia"
"ORA.AX","ASX200","Australia"
"ORG.AX","ASX200","Australia"
"ORI.AX","ASX200","Australia"
"PBH.AX","ASX200","Australia"
"PDN.AX","ASX200","Australia"
"PLS.AX","ASX200","Australia"
"PME.AX","ASX200","Australia"
"PMV.AX","ASX200","Australia"
"PNI.AX","ASX200","Australia"
"PPT.AX","ASX200","Australia"
"PRU.AX","ASX200","Australia"
"QAN.AX","ASX200","Australia"
"QBE.AX","ASX200","Australia"
"QUB.AX","ASX200","Australia"
"REA.AX","ASX200","Australia"
"REH.AX","ASX200","Australia"
"RHC.AX","ASX200","Australia"
"RIO.AX","ASX200","Australia"
"RMD.AX","ASX200","Australia"
"RMS.AX","ASX200","Australia"
"RRL.AX","ASX200","Australia"
"RWC.AX","ASX200","Australia"
"S32.AX","ASX200","Australia"
"SBM.AX","ASX200","Australia"
"SCG.AX","ASX200","Australia"
"SDF.AX","ASX200","Australia"
"SEK.AX","ASX200","Australia"
"SFR.AX","ASX200","Australia"
"SGM.AX","ASX200","Australia"
"SGP.AX","ASX200","Australia"
"SGR.AX","ASX200","Australia"
"SHL.AX","ASX200","Australia"
"SLR.AX","ASX200","Australia"
"SOL.AX","ASX200","Australia"
"STO.AX","ASX200","Australia"
"SUL.AX","ASX200","Australia"
"SUN.AX","ASX200","Australia"
"SVW.AX","ASX200","Australia"
"TLX.AX","ASX200","Australia"
"TAH.AX","ASX200","Australia"
"TCL.AX","ASX200","Australia"
"TLC.AX","ASX200","Australia"
"TLS.AX","ASX200","Australia"
"TNE.AX","ASX200","Australia"
"TPG.AX","ASX200","Australia"
"TWE.AX","ASX200","Australia"
"TYR.AX","ASX200","Australia"
"UMG.AX","ASX200","Australia"
"VCX.AX","ASX200","Australia"
"VEA.AX","ASX200","Australia"
"VUK.AX","ASX200","Australia"
"WBC.AX","ASX200","Australia"
"WEB.AX","ASX200","Australia"
"WES.AX","ASX200","Australia"
"WHC.AX","ASX200","Australia"
"WOR.AX","ASX200","Australia"
"WOW.AX","ASX200","Australia"
"WDS.AX","ASX200","Australia"
"WPR.AX","ASX200","Australia"
"WTC.AX","ASX200","Australia"
"XRO.AX","ASX200","Australia"
"ZIP.AX","ASX200","Australia"
"ARE.TO","TSX","Canada"
"AEM.TO","TSX","Canada"
"AC.TO","TSX","Canada"
"AGI.TO","TSX","Canada"
"AQN.TO","TSX","Canada"
"ATD.TO","TSX","Canada"
"ALA.TO","TSX","Canada"
"AIF.TO","TSX","Canada"
"ARX.TO","TSX","Canada"
"ATZ.TO","TSX","Canada"
"ACO.X.TO","TSX","Canada"
"ACB.TO","TSX","Canada"
"BTO.TO","TSX","Canada"
"BDGI.TO","TSX","Canada"
"BLDP.TO","TSX","Canada"
"BMO.TO","TSX","Canada"
"BNS.TO","TSX","Canada"
