"Ticker","Index","Country"
"ALUA.BA","S&P Merval","Argentina"
"VALO.BA","S&P Merval","Argentina"
"BYMA.BA","S&P Merval","Argentina"
"EDN.BA","S&P Merval","Argentina"
"HARG.BA","S&P Merval","Argentina"
"RICH.BA","S&P Merval","Argentina"
"MIRG.BA","S&P Merval","Argentina"
"TXAR.BA","S&P Merval","Argentina"
"TGSU2.BA","S&P Merval","Argentina"
"TRAN.BA","S&P Merval","Argentina"
"BG.VI","ATX","Austria"
"SBO.VI","ATX","Austria"
"VER.VI","ATX","Austria"
"RRRP3.SA","Bovespa","Brazil"
"ALPA4.SA","Bovespa","Brazil"
"ABEV3.SA","Bovespa","Brazil"
"ARZZ3.SA","Bovespa","Brazil"
"BPAC11.SA","Bovespa","Brazil"
"BBDC3.SA","Bovespa","Brazil"
"BBDC4.SA","Bovespa","Brazil"
"BRAP4.SA","Bovespa","Brazil"
"BBAS3.SA","Bovespa","Brazil"
"BRKM5.SA","Bovespa","Brazil"
"BRFS3.SA","Bovespa","Brazil"
"CCRO3.SA","Bovespa","Brazil"
"CIEL3.SA","Bovespa","Brazil"
"CSAN3.SA","Bovespa","Brazil"
"CPFE3.SA","Bovespa","Brazil"
"CVCB3.SA","Bovespa","Brazil"
"ECOR3.SA","Bovespa","Brazil"
"EMBR3.SA","Bovespa","Brazil"
"ENBR3.SA","Bovespa","Brazil"
"ENGI11.SA","Bovespa","Brazil"
"ENEV3.SA","Bovespa","Brazil"
"EGIE3.SA","Bovespa","Brazil"
"EQTL3.SA","Bovespa","Brazil"
"EZTC3.SA","Bovespa","Brazil"
"FLRY3.SA","Bovespa","Brazil"
"GOAU4.SA","Bovespa","Brazil"
"GGBR4.SA","Bovespa","Brazil"
"GOLL4.SA","Bovespa","Brazil"
"HAPV3.SA","Bovespa","Brazil"
"IRBR3.SA","Bovespa","Brazil"
"ITSA4.SA","Bovespa","Brazil"
"JBSS3.SA","Bovespa","Brazil"
"KLBN11.SA","Bovespa","Brazil"
"RENT3.SA","Bovespa","Brazil"
"MGLU3.SA","Bovespa","Brazil"
"MRFG3.SA","Bovespa","Brazil"
"CASH3.SA","Bovespa","Brazil"
"BEEF3.SA","Bovespa","Brazil"
"SOMA3.SA","Bovespa","Brazil"
"MRVE3.SA","Bovespa","Brazil"
"MULT3.SA","Bovespa","Brazil"
"PETR3.SA","Bovespa","Brazil"
"PETR4.SA","Bovespa","Brazil"
"PRIO3.SA","Bovespa","Brazil"
"PETZ3.SA","Bovespa","Brazil"
"QUAL3.SA","Bovespa","Brazil"
"RAIZ4.SA","Bovespa","Brazil"
"SBSP3.SA","Bovespa","Brazil"
"SULA11.SA","Bovespa","Brazil"
"TOTS3.SA","Bovespa","Brazil"
"UGPA3.SA","Bovespa","Brazil"
"USIM5.SA","Bovespa","Brazil"
"VALE3.SA","Bovespa","Brazil"
"WEGE3.SA","Bovespa","Brazil"
"AGUAS-A.SN","S&P CLX IPSA","Chile"
"CENCOSHOPP.SN","S&P CLX IPSA","Chile"
"COLBUN.SN","S&P CLX IPSA","Chile"
"ENTEL.SN","S&P CLX IPSA","Chile"
"CMPC.SN","S&P CLX IPSA","Chile"
"COPEC.SN","S&P CLX IPSA","Chile"
"ENELAM.SN","S&P CLX IPSA","Chile"
"ECL.SN","S&P CLX IPSA","Chile"
"SECURITY.SN","S&P CLX IPSA","Chile"
"IAM.SN","S&P CLX IPSA","Chile"
"PARAUCO.SN","S&P CLX IPSA","Chile"
"RIPLEY.SN","S&P CLX IPSA","Chile"
"SONDA.SN","S&P CLX IPSA","Chile"
"VAPORES.SN","S&P CLX IPSA","Chile"
"601360.SS","Shanghai","China"
"603580.SS","Shanghai","China"
"603089.SS","Shanghai","China"
"688012.SS","Shanghai","China"
"600391.SS","Shanghai","China"
"600893.SS","Shanghai","China"
"600469.SS","Shanghai","China"
"600151.SS","Shanghai","China"
"600501.SS","Shanghai","China"
"600271.SS","Shanghai","China"
"600298.SS","Shanghai","China"
"603429.SS","Shanghai","China"
"603815.SS","Shanghai","China"
"601606.SS","Shanghai","China"
"603599.SS","Shanghai","China"
"600761.SS","Shanghai","China"
"600418.SS","Shanghai","China"
"603199.SS","Shanghai","China"
"603589.SS","Shanghai","China"
"603689.SS","Shanghai","China"
"600218.SS","Shanghai","China"
"600237.SS","Shanghai","China"
"603357.SS","Shanghai","China"
"601801.SS","Shanghai","China"
"600318.SS","Shanghai","China"
"603198.SS","Shanghai","China"
"603527.SS","Shanghai","China"
"603696.SS","Shanghai","China"
"688019.SS","Shanghai","China"
"600569.SS","Shanghai","China"
"600397.SS","Shanghai","China"
"603839.SS","Shanghai","China"
"603020.SS","Shanghai","China"
"688007.SS","Shanghai","China"
"600629.SS","Shanghai","China"
"688088.SS","Shanghai","China"
"603790.SS","Shanghai","China"
"603017.SS","Shanghai","China"
"603378.SS","Shanghai","China"
"600558.SS","Shanghai","China"
"600336.SS","Shanghai","China"
"603551.SS","Shanghai","China"
"603658.SS","Shanghai","China"
"600862.SS","Shanghai","China"
"600765.SS","Shanghai","China"
"600760.SS","Shanghai","China"
"600038.SS","Shanghai","China"
"603489.SS","Shanghai","China"
"600733.SS","Shanghai","China"
"600865.SS","Shanghai","China"
"601212.SS","Shanghai","China"
"601169.SS","Shanghai","China"
"601577.SS","Shanghai","China"
"601838.SS","Shanghai","China"
"601997.SS","Shanghai","China"
"600926.SS","Shanghai","China"
"600919.SS","Shanghai","China"
"601009.SS","Shanghai","China"
"601229.SS","Shanghai","China"
"600928.SS","Shanghai","China"
"600550.SS","Shanghai","China"
"600456.SS","Shanghai","China"
"600019.SS","Shanghai","China"
"601011.SS","Shanghai","China"
"600191.SS","Shanghai","China"
"601678.SS","Shanghai","China"
"600791.SS","Shanghai","China"
"600463.SS","Shanghai","China"
"600386.SS","Shanghai","China"
"600376.SS","Shanghai","China"
"603569.SS","Shanghai","China"
"603123.SS","Shanghai","China"
"603025.SS","Shanghai","China"
"600159.SS","Shanghai","China"
"600405.SS","Shanghai","China"
"600658.SS","Shanghai","China"
"600037.SS","Shanghai","China"
"603616.SS","Shanghai","China"
"601101.SS","Shanghai","China"
"600578.SS","Shanghai","China"
"601908.SS","Shanghai","China"
"603590.SS","Shanghai","China"
"603778.SS","Shanghai","China"
"600429.SS","Shanghai","China"
"601126.SS","Shanghai","China"
"600410.SS","Shanghai","China"
"600161.SS","Shanghai","China"
"688033.SS","Shanghai","China"
"600085.SS","Shanghai","China"
"603516.SS","Shanghai","China"
"603613.SS","Shanghai","China"
"600861.SS","Shanghai","China"
"603138.SS","Shanghai","China"
"600055.SS","Shanghai","China"
"603392.SS","Shanghai","China"
"688028.SS","Shanghai","China"
"603267.SS","Shanghai","China"
"601816.SS","Shanghai","China"
"600166.SS","Shanghai","China"
"603068.SS","Shanghai","China"
"603719.SS","Shanghai","China"
"600681.SS","Shanghai","China"
"600510.SS","Shanghai","China"
"600299.SS","Shanghai","China"
"603167.SS","Shanghai","China"
"603727.SS","Shanghai","China"
"603936.SS","Shanghai","China"
"600597.SS","Shanghai","China"
"600708.SS","Shanghai","China"
"601339.SS","Shanghai","China"
"600258.SS","Shanghai","China"
"600455.SS","Shanghai","China"
"600707.SS","Shanghai","China"
"601108.SS","Shanghai","China"
"601311.SS","Shanghai","China"
"600230.SS","Shanghai","China"
"600180.SS","Shanghai","China"
"601016.SS","Shanghai","China"
"600850.SS","Shanghai","China"
"603615.SS","Shanghai","China"
"600697.SS","Shanghai","China"
"603099.SS","Shanghai","China"
"600742.SS","Shanghai","China"
"600333.SS","Shanghai","China"
"600148.SS","Shanghai","China"
"603035.SS","Shanghai","China"
"603698.SS","Shanghai","China"
"605288.SS","Shanghai","China"
"603819.SS","Shanghai","China"
"603158.SS","Shanghai","China"
"601799.SS","Shanghai","China"
"600880.SS","Shanghai","China"
"603053.SS","Shanghai","China"
"600353.SS","Shanghai","China"
"600711.SS","Shanghai","China"
"600988.SS","Shanghai","China"
"601965.SS","Shanghai","China"
"600372.SS","Shanghai","China"
"603220.SS","Shanghai","China"
"603060.SS","Shanghai","China"
"601918.SS","Shanghai","China"
"600150.SS","Shanghai","China"
"600138.SS","Shanghai","China"
"603018.SS","Shanghai","China"
"600977.SS","Shanghai","China"
"601106.SS","Shanghai","China"
"600340.SS","Shanghai","China"
"600297.SS","Shanghai","China"
"601118.SS","Shanghai","China"
"600730.SS","Shanghai","China"
"600176.SS","Shanghai","China"
"603505.SS","Shanghai","China"
"600764.SS","Shanghai","China"
"603967.SS","Shanghai","China"
"600056.SS","Shanghai","China"
"601872.SS","Shanghai","China"
"601117.SS","Shanghai","China"
"601985.SS","Shanghai","China"
"600536.SS","Shanghai","China"
"601611.SS","Shanghai","China"
"600339.SS","Shanghai","China"
"601949.SS","Shanghai","China"
"600528.SS","Shanghai","China"
"600125.SS","Shanghai","China"
"600636.SS","Shanghai","China"
"600217.SS","Shanghai","China"
"600062.SS","Shanghai","China"
"601698.SS","Shanghai","China"
"601858.SS","Shanghai","China"
"600482.SS","Shanghai","China"
"600995.SS","Shanghai","China"
"600118.SS","Shanghai","China"
"600158.SS","Shanghai","China"
"600050.SS","Shanghai","China"
"603005.SS","Shanghai","China"
"600007.SS","Shanghai","China"
"601179.SS","Shanghai","China"
"601512.SS","Shanghai","China"
"600373.SS","Shanghai","China"
"600132.SS","Shanghai","China"
"603100.SS","Shanghai","China"
"600939.SS","Shanghai","China"
"600729.SS","Shanghai","China"
"600615.SS","Shanghai","China"
"600452.SS","Shanghai","China"
"600917.SS","Shanghai","China"
"603758.SS","Shanghai","China"
"600106.SS","Shanghai","China"
"601827.SS","Shanghai","China"
"600129.SS","Shanghai","China"
"600116.SS","Shanghai","China"
"600847.SS","Shanghai","China"
"601158.SS","Shanghai","China"
"603601.SS","Shanghai","China"
"603976.SS","Shanghai","China"
"600657.SS","Shanghai","China"
"603367.SS","Shanghai","China"
"601608.SS","Shanghai","China"
"600067.SS","Shanghai","China"
"600787.SS","Shanghai","China"
"600968.SS","Shanghai","China"
"603908.SS","Shanghai","China"
"600428.SS","Shanghai","China"
"603903.SS","Shanghai","China"
"603128.SS","Shanghai","China"
"600892.SS","Shanghai","China"
"603212.SS","Shanghai","China"
"600288.SS","Shanghai","China"
"600257.SS","Shanghai","China"
"603963.SS","Shanghai","China"
"603360.SS","Shanghai","China"
"600593.SS","Shanghai","China"
"600719.SS","Shanghai","China"
"603955.SS","Shanghai","China"
"601006.SS","Shanghai","China"
"600694.SS","Shanghai","China"
"603233.SS","Shanghai","China"
"600744.SS","Shanghai","China"
"600198.SS","Shanghai","China"
"603019.SS","Shanghai","China"
"603587.SS","Shanghai","China"
"603032.SS","Shanghai","China"
"600503.SS","Shanghai","China"
"603056.SS","Shanghai","China"
"600826.SS","Shanghai","China"
"600006.SS","Shanghai","China"
"600081.SS","Shanghai","China"
"601198.SS","Shanghai","China"
"603528.SS","Shanghai","China"
"603999.SS","Shanghai","China"
"603377.SS","Shanghai","China"
"603486.SS","Shanghai","China"
"600537.SS","Shanghai","China"
"603869.SS","Shanghai","China"
"603002.SS","Shanghai","China"
"688018.SS","Shanghai","China"
"603966.SS","Shanghai","China"
"600622.SS","Shanghai","China"
"600507.SS","Shanghai","China"
"600869.SS","Shanghai","China"
"601700.SS","Shanghai","China"
"600498.SS","Shanghai","China"
"603007.SS","Shanghai","China"
"603488.SS","Shanghai","China"
"600965.SS","Shanghai","China"
"601901.SS","Shanghai","China"
"600601.SS","Shanghai","China"
"601138.SS","Shanghai","China"
"603045.SS","Shanghai","China"
"603363.SS","Shanghai","China"
"603383.SS","Shanghai","China"
"600802.SS","Shanghai","China"
"600693.SS","Shanghai","China"
"600033.SS","Shanghai","China"
"688010.SS","Shanghai","China"
"600483.SS","Shanghai","China"
"600203.SS","Shanghai","China"
"600493.SS","Shanghai","China"
"603817.SS","Shanghai","China"
"603826.SS","Shanghai","China"
"600388.SS","Shanghai","China"
"600592.SS","Shanghai","China"
"600753.SS","Shanghai","China"
"600103.SS","Shanghai","China"
"603933.SS","Shanghai","China"
"603668.SS","Shanghai","China"
